"y","x1","x2","x3"
1.15257,0.166962,0.107863,0.182832
-0.196765,0.933139,0.518496,0.757508
0.523185,0.632999,0.789845,0.087237
0.598877,0.581494,0.389094,0.648131
-0.552646,0.888789,0.274813,0.650728
2.637458,0.091215,0.619287,0.336619
2.206135,0.278745,0.865283,0.658919
2.228177,0.415051,0.669183,0.412173
-0.287399,0.013891,0.378769,0.047847
0.17626,0.9941,0.05689,0.78496
1.266516,0.545877,0.777783,0.499703
1.561996,0.004486,0.854609,0.357602
-0.280619,0.804353,0.120665,0.249611
0.997549,0.077507,0.078032,0.442162
-0.241982,0.71892,0.592678,0.703705
0.661179,0.696965,0.705462,0.54932
-0.155181,0.789824,0.776826,0.214134
1.279763,0.186024,0.413104,0.507469
2.805357,0.244894,0.803554,0.32717
0.779979,0.945082,0.641724,0.371729
0.04179,0.049603,0.59697,0.067626
-0.238266,0.689189,0.560584,0.909652
0.898879,0.849793,0.722204,0.193623
1.819125,0.087963,0.841561,0.353754
2.26984,0.218943,0.475062,0.241364
0.80321,0.059788,0.778675,0.519202
-0.030711,0.761998,0.552388,0.728853
0.733691,0.860424,0.112294,0.499222
-0.191906,0.639095,0.550747,0.414914
1.93139,0.105673,0.572582,0.194329
2.016137,0.489539,0.58957,0.373226
1.706105,0.442048,0.919644,0.063175
1.268198,0.914126,0.838963,0.590202
1.917097,0.382032,0.770161,0.500499
0.997468,0.655564,0.793969,0.026251
-0.477277,0.754973,0.036377,0.882077
0.372035,0.657296,0.356043,0.469355
2.248888,0.197062,0.685577,0.521571
0.561472,0.843083,0.377537,0.255514
0.834959,0.102406,0.027754,0.74422
0.610311,0.539912,0.450593,0.257361
2.816512,0.265712,0.638728,0.588006
0.829942,0.414379,0.735487,0.982776
2.383901,0.384599,0.870858,0.598347
1.647653,0.380752,0.398289,0.015495
1.944913,0.251691,0.618946,0.353448
1.078483,0.045312,0.634856,0.817924
-0.553521,0.676761,0.364812,0.168123
0.69767,0.604722,0.62196,0.349834
0.044164,0.701813,0.554879,0.058897
1.720806,0.195053,0.305954,0.538011
1.680788,0.396219,0.854284,0.786424
0.315995,0.357484,0.319886,0.790506
0.215141,0.901579,0.855565,0.015427
0.232887,0.766169,0.83715,0.033856
1.172861,0.897327,0.289867,0.447324
0.991398,0.137502,0.4567,0.706782
0.515798,0.178071,0.442431,0.639826
0.057702,0.615602,0.478811,0.987694
1.532351,0.029644,0.612101,0.487517
1.505755,0.259043,0.261458,0.075261
0.473597,0.872141,0.918339,0.18971
0.649107,0.813241,0.983298,0.681635
-0.20252,0.045493,0.375551,0.928273
1.944526,0.194588,0.694793,0.65641
-0.158834,0.946389,0.247943,0.508366
1.025886,0.506414,0.701653,0.4068
0.745293,0.15686,0.19773,0.108201
0.518295,0.111128,0.334389,0.826047
2.230741,0.460155,0.755954,0.599711
0.833466,0.439614,0.165036,0.694189
-0.194823,0.632629,0.697488,0.9061
1.111794,0.992888,0.478114,0.367542
0.367132,4.3e-5,0.820142,0.048676
0.777945,0.450943,0.774466,0.145765
0.994151,0.215552,0.13747,0.875827
0.74382,0.347422,0.381179,0.770744
0.429374,0.667719,0.5816,0.222411
1.144362,0.554001,0.000306,0.177844
-1.111901,0.659032,0.598188,0.899148
0.791863,0.520841,0.182521,0.115075
-0.119508,0.641809,0.827275,0.723909
0.26438,0.558296,0.627831,0.119617
1.266196,0.334634,0.14476,0.959727
2.663032,0.128378,0.198668,0.302339
0.395778,0.929245,0.397914,0.542081
0.141154,0.671397,0.430444,0.067589
0.532557,0.590094,0.289941,0.695465
0.962884,0.550605,0.849689,0.103518
-0.070223,0.944855,0.058404,0.105823
0.472491,0.972967,0.295473,0.074073
0.042505,0.603812,0.661734,0.81542
1.388113,0.526995,0.607115,0.575201
0.498192,0.902683,0.030964,0.640013
1.438102,0.423504,0.014276,0.092013
1.660836,0.054938,0.632579,0.944626
1.277081,0.227613,0.339584,0.652115
0.800231,0.56127,0.634196,0.829097
1.005447,0.967441,0.703473,0.650396
-0.074064,0.853634,0.283066,0.416313
-0.353313,0.645006,0.127055,0.22253
-1.320116,0.757671,0.590379,0.957857
-0.772367,0.67421,0.027837,0.326656
1.672988,0.361031,0.348273,0.854157
2.138044,0.998719,0.759494,0.452903
-0.740532,0.86402,0.050807,0.235866
-0.154736,0.906262,0.249405,0.88295
-0.189118,0.84111,0.239398,0.861492
0.448517,0.042271,0.55565,0.63031
2.289369,0.596961,0.840774,0.491341
0.56904,0.933408,0.676012,0.829109
0.942887,0.839136,0.794505,0.556408
0.056498,0.707876,0.649965,0.180515
0.70638,0.534672,0.319134,0.447929
0.296963,0.896184,0.344211,0.343351
1.900439,0.055962,0.696046,0.730668
2.945728,0.197559,0.919675,0.238876
2.287685,0.199092,0.245043,0.588716
2.309871,0.364228,0.462325,0.572908
0.591018,0.045315,0.476764,0.572563
1.922648,0.338113,0.762064,0.235193
0.040672,0.501141,0.056688,0.769942
1.015881,0.621635,0.289825,0.440098
0.886508,0.183274,0.539582,0.889825
-0.003519,0.874607,0.26321,0.697593
1.990428,0.090658,0.202436,0.656485
0.595258,0.761551,0.853546,0.136134
-0.352316,0.565119,0.745265,0.834074
-0.423832,0.671674,0.235155,0.200371
0.100306,0.077504,0.748419,0.944688
1.180296,0.527444,0.962161,0.731351
1.664435,0.117605,0.165153,0.061946
0.281905,0.120337,0.329446,0.794317
1.599967,0.067699,0.988873,0.643688
0.01591,0.643995,0.455913,0.554419
3.368985,0.148033,0.870519,0.552254
-0.760059,0.786157,0.71745,0.002393
-0.663851,0.734253,0.200663,0.181921
0.685776,0.830893,0.572276,0.490904
1.675844,0.275592,0.584382,0.128291
2.279609,0.34504,0.618335,0.644932
1.822254,0.231985,0.264801,0.086478
-0.155668,0.970371,0.390855,0.725279
0.54819,0.057329,0.484438,0.785635
0.662445,0.92284,0.322355,0.665565
2.277051,0.378073,0.865538,0.558793
0.271377,0.979072,0.432977,0.673287
1.035569,0.508935,0.552321,0.348378
-1.091041,0.829643,0.075102,0.870294
-0.431959,0.619478,0.670352,0.275785
0.742519,0.327328,0.115839,0.669277
1.84407,0.35474,0.611266,0.33238
1.109435,0.955404,0.805964,0.130495
0.993841,0.526871,0.654246,0.875072
0.203979,0.555458,0.499746,0.01111
1.733596,0.220432,0.529957,0.856342
1.380209,0.948208,0.548902,0.417374
1.333129,0.031638,0.435513,0.33281
0.122439,0.61634,0.389099,0.502047
1.131796,0.502778,0.509065,0.473439
-0.820964,0.697372,0.07585,0.979828
0.438908,0.768831,0.617365,0.603479
1.564618,0.009515,0.680915,0.330784
1.357036,0.25828,0.094821,0.032223
2.17828,0.387629,0.575069,0.402268
1.468357,0.359474,0.03721,0.057527
2.006645,0.320052,0.322531,0.253276
2.50585,0.148439,0.822102,0.351586
1.719767,0.35365,0.472841,0.802841
2.123264,0.072371,0.80944,0.498983
-1.179867,0.770313,0.394672,0.976165
-0.387758,0.487957,0.377422,0.743078
0.481282,0.454277,0.468087,0.052908
2.06621,0.329579,0.249341,0.664134
0.559376,0.020337,0.397069,0.798402
0.26457,0.672098,0.869381,0.602256
2.315271,0.314456,0.786463,0.60588
0.968894,0.595854,0.798281,0.206261
-0.13097,0.672947,0.032418,0.806492
-0.565622,0.74802,0.935846,0.975655
0.077426,0.850623,0.406051,0.497509
-0.27711,0.884744,0.271342,0.86972
0.082903,0.759522,0.859047,0.552991
1.360623,0.223296,0.832363,0.070402
1.940269,0.194968,0.348413,0.382573
1.440194,0.601553,0.833114,0.502661
-0.253984,0.783243,0.912037,0.747776
-0.123842,0.950824,0.243552,0.717209
2.3607,0.282341,0.778511,0.494333
1.715144,0.197121,0.452885,0.550704
1.020718,0.494366,0.63104,0.94897
0.313146,0.994788,0.12918,0.824895
0.152535,0.59734,0.487782,0.420349
1.754353,0.334709,0.639473,0.068858
2.207317,0.448024,0.88727,0.293313
1.496446,0.175693,0.626342,0.933835
0.027467,0.685746,0.887732,0.696848
1.61165,0.405798,0.882518,0.896725
2.232405,0.071858,0.776583,0.297396
-0.715866,0.700919,0.259407,0.661078
1.719389,0.141847,0.292578,0.094455
-0.109614,0.837858,0.119581,0.931761
0.449421,0.002176,0.353906,0.447764
1.81934,0.269952,0.450396,0.664057
1.04546,0.51456,0.021064,0.331772
1.865977,0.121242,0.520083,0.463064
1.358934,0.356393,0.09792,0.87905
1.084009,0.035418,0.725079,0.079867
0.131028,0.553241,0.015263,0.453495
1.317316,0.410227,0.000732,0.541339
0.774655,0.159709,0.016854,0.226225
1.263176,0.874297,0.773814,0.649159
0.174099,0.073368,0.315945,0.076887
0.299976,0.950814,0.488347,0.861571
1.231688,0.977296,0.908088,0.504136
2.585362,0.231601,0.989667,0.745219
-0.42846,0.775141,0.0352,0.243942
1.366167,0.392095,0.523279,0.597983
1.432935,0.466939,0.157905,0.421527
0.284565,0.968473,0.695553,0.859761
0.31887,0.58329,0.014471,0.447969
1.145741,0.428058,0.382946,0.273388
-0.748796,0.598819,0.13207,0.963338
0.04794,0.610895,0.113905,0.834809
-0.305499,0.975465,0.040851,0.919977
2.72221,0.250482,0.295608,0.831895
0.871736,0.972361,0.703588,0.257129
0.852512,0.913377,0.842121,0.828555
2.276432,0.073385,0.994946,0.779876
2.175136,0.336188,0.793779,0.297794
1.071404,0.903133,0.985354,0.00019
0.609083,0.726465,0.855653,0.127603
0.300217,0.533847,0.739544,0.685708
0.518721,0.574342,0.429234,0.132592
-0.119518,0.673136,0.390971,0.065689
1.782497,0.159016,0.751034,0.977113
1.14437,0.430984,0.436458,0.45293
-0.198565,0.606764,0.502421,0.678182
0.955896,0.916648,0.301418,0.52314
1.144611,0.032948,0.084192,0.416915
-0.341655,0.66473,0.018199,0.506072
-0.466972,0.525716,0.326921,0.803874
0.6576,0.608035,0.127017,0.456471
2.575879,0.213851,0.232424,0.607601
1.100246,0.833519,0.773061,0.457185
-0.206505,0.545675,0.436356,0.895881
1.281727,0.056753,0.161749,0.303205
0.290642,0.555007,0.406824,0.308343
1.63228,0.271853,0.690899,0.687223
2.237226,0.442328,0.713919,0.506988
1.011173,0.920429,0.304493,0.358531
1.580699,0.454933,0.977703,0.244855
2.381412,0.240678,0.086863,0.209398
0.603634,0.008523,0.330138,0.231553
-0.40281,0.693197,0.628663,0.701299
1.302561,0.138404,0.449194,0.421667
-0.458039,0.733472,0.097636,0.701201
0.756642,0.582098,0.435426,0.48317
-0.104179,0.591104,0.103099,0.891623
-0.486681,0.603692,0.414352,0.973344
2.788996,0.100584,0.799803,0.377193
0.918795,0.133525,0.289249,0.83141
0.107347,0.749189,0.855892,0.16888
0.90377,0.940509,0.546242,0.630835
-1.044287,0.702039,0.219883,0.149736
1.195711,0.560047,0.829399,0.188517
1.449306,0.526221,0.464224,0.379945
-0.060633,0.975564,0.159234,0.922636
1.14214,0.499326,0.642649,0.188549
1.133151,0.457827,0.535924,0.199061
1.654611,0.147614,0.817332,0.785724
1.437011,0.845055,0.963842,0.869338
2.306004,0.287524,0.072175,0.465441
0.389385,0.87832,0.308278,0.210135
1.868105,0.13564,0.515068,0.280801
1.011653,0.526808,0.176559,0.387005
0.85884,0.891042,0.677774,0.473913
1.558254,0.425999,0.622118,0.477406
1.423987,0.182548,0.497194,0.847064
2.890547,0.371151,0.967817,0.417861
-0.514419,0.690087,0.866893,0.857464
0.914907,0.477983,0.166448,0.793633
1.009058,0.991098,0.433914,0.522324
1.025902,0.440394,0.347749,0.34096
0.440374,0.039241,0.704974,0.8106
-0.026123,0.659678,0.605504,0.675316
-0.216203,0.51,0.459279,0.90166
0.779743,0.529589,0.739947,0.848248
1.804324,0.173776,0.527026,0.498779
0.322978,0.634784,0.07492,0.095349
-1.00608,0.777728,0.592541,0.080851
0.463088,0.895617,0.198471,0.209491
-0.623948,0.717676,0.475601,0.120376
0.674375,0.07385,0.444865,0.948048
0.987104,0.414749,0.226517,0.164918
2.177408,0.279741,0.844632,0.444559
-0.078867,0.690058,0.947552,0.729506
