"y","region","z","g_true"
2.747566,r01,0.806616,1.548169
2.106442,r01,0.865956,1.548169
2.989561,r01,0.726343,1.548169
1.983835,r01,0.083121,1.548169
1.830192,r01,0.082248,1.548169
2.480014,r01,0.709665,1.548169
3.061291,r01,0.324274,1.548169
2.848951,r01,0.314223,1.548169
4.092031,r01,0.687707,1.548169
1.655105,r01,0.008893,1.548169
1.395166,r01,0.009794,1.548169
2.614365,r01,0.524269,1.548169
2.06646,r01,0.916306,1.548169
3.010169,r01,0.449919,1.548169
3.437296,r01,0.541228,1.548169
3.165843,r01,0.502686,1.548169
3.03492,r01,0.544801,1.548169
2.389243,r01,0.144954,1.548169
1.433921,r01,0.937631,1.548169
2.6936,r01,0.278747,1.548169
1.509474,r02,0.791265,0.953294
1.498026,r02,0.082641,0.953294
1.746008,r02,0.155255,0.953294
2.531791,r02,0.300925,0.953294
2.7413,r02,0.555885,0.953294
2.299239,r02,0.383651,0.953294
1.67643,r02,0.418383,0.953294
2.947227,r02,0.470615,0.953294
1.680879,r02,0.846694,0.953294
2.734671,r02,0.471474,0.953294
1.693485,r02,0.966243,0.953294
1.165488,r02,0.79269,0.953294
1.487083,r02,0.020909,0.953294
2.229665,r02,0.141946,0.953294
3.268858,r02,0.449993,0.953294
1.490092,r02,0.069349,0.953294
1.895761,r02,0.739813,0.953294
1.740085,r02,0.74854,0.953294
1.615354,r02,0.125055,0.953294
3.134397,r02,0.602036,0.953294
1.050595,r03,0.747542,0.278481
1.289923,r03,0.254193,0.278481
-0.109933,r03,0.996429,0.278481
1.366141,r03,0.317407,0.278481
1.877509,r03,0.70362,0.278481
0.334416,r03,0.237738,0.278481
0.613506,r03,0.945196,0.278481
1.048537,r03,0.927308,0.278481
1.348897,r03,0.886446,0.278481
0.679871,r03,0.120032,0.278481
2.097333,r03,0.344407,0.278481
1.458681,r03,0.333483,0.278481
1.882688,r03,0.369206,0.278481
1.222294,r03,0.842688,0.278481
1.519941,r03,0.752363,0.278481
1.400279,r03,0.760036,0.278481
0.332447,r03,0.893964,0.278481
1.172987,r03,0.707179,0.278481
1.658328,r03,0.452065,0.278481
1.395384,r03,0.809166,0.278481
0.939503,r04,0.89416,-0.158895
-0.056664,r04,0.181293,-0.158895
0.703929,r04,0.212274,-0.158895
0.698721,r04,0.351905,-0.158895
1.994573,r04,0.414,-0.158895
1.407093,r04,0.313293,-0.158895
0.308314,r04,0.849708,-0.158895
0.120265,r04,0.049832,-0.158895
0.555136,r04,0.784342,-0.158895
0.983888,r04,0.354415,-0.158895
0.66492,r04,0.915778,-0.158895
