week,year,t,y,mu_true,amp_true
0,1,0,3.111444264785434,3.0,0.8
1,1,1,2.666438453137933,3.1635084451573485,0.8
2,1,2,3.6454300818783993,3.3217750316922863,0.8
3,1,3,3.307760215866593,3.4697256996135892,0.8
4,1,4,3.4811850916112412,3.6027797397058294,0.8
5,1,5,3.648200990868366,3.7170469625417453,0.8
6,1,6,3.8557247550017006,3.8094959046460377,0.8
7,1,7,3.6773155711308587,3.8780767425337253,0.8
8,1,8,4.32724157456391,3.9217917373867217,0.8
9,1,9,3.892926430032435,3.940709606692286,0.8
10,1,10,4.151471972259213,3.9359235416033966,0.8
11,1,11,3.7560116612600525,3.9094558267254054,0.8
12,1,12,3.770210170852498,3.8641150506560655,0.8
13,1,13,4.088625784175959,3.8033145630368117,0.8
14,1,14,3.6832831644470914,3.7308629890230742,0.8
15,1,15,3.82258251026621,3.6507391332732833,0.8
16,1,16,3.702335514129013,3.566864406805637,0.8
17,1,17,3.2714577410117864,3.482885946791478,0.8
18,1,18,4.1540259963161645,3.4019828711926055,0.8
19,1,19,3.409032362200706,3.326706661098694,0.8
20,1,20,3.1944559220691175,3.2588645794844147,0.8
21,1,21,3.837872238936831,3.1994524385146423,0.8
22,1,22,3.3167417598048754,3.148640070800959,0.8
23,1,23,3.306543629101636,3.105809716297242,0.8
24,1,24,2.7106006877198494,3.069644389705363,0.8
25,1,25,3.0747080033184333,3.0382603272754753,0.8
26,1,26,3.4367898899441434,3.009375,0.8
27,1,27,2.9940811390102127,2.980500074943991,0.8
28,1,28,2.9339071438513296,2.9491472307373225,0.8
29,1,29,3.0198209505313547,2.9130339732176243,0.8
30,1,30,3.0138877126785975,2.870276597218493,0.8
31,1,31,2.8864150628463006,2.819558200545651,0.8
32,1,32,2.644535110693346,2.760261131913863,0.8
33,1,33,2.966602402241997,2.6925553598891225,0.8
34,1,34,2.8377776522436102,2.617436861784943,0.8
35,1,35,2.6180375405003273,2.536713097472634,0.8
36,1,36,2.293166822231474,2.4529357799150455,0.8
37,1,37,2.218624797608216,2.369284297993794,0.8
38,1,38,2.662321025089814,2.289406103988967,0.8
39,1,39,2.2280978245914493,2.2172229747539443,0.8
40,1,40,1.8585847272406464,2.1567141399021765,0.8
41,1,41,1.7346700403413822,2.111688719584663,0.8
42,1,42,1.916379074700325,2.0855606429317652,0.8
43,1,43,1.9474319895554455,2.081139182060046,0.8
44,1,44,1.7777355329711657,2.1004474362316237,0.8
45,1,45,2.014297646126821,2.1445795812480766,0.8
46,1,46,2.2891896560293428,2.213605547242371,0.8
47,1,47,2.0986987436011146,2.3065291272898762,0.8
48,1,48,2.3025201324284197,2.421302502931611,0.8
49,1,49,2.503184269949481,2.554896974791384,0.8
50,1,50,2.295662828154204,2.703426491645831,0.8
51,1,51,3.174987065394806,2.8623175641995613,0.8
52,1,52,2.980853086242488,3.0265165042944964,0.8
0,2,52,3.1330495723130976,3.0265165042944955,0.9
1,2,53,3.205850715285184,3.21115251563468,0.9
2,2,54,3.61059227473165,3.389832816313144,0.9
3,2,55,3.0810815675160272,3.556872022520266,0.9
4,2,56,3.5392891758479865,3.707124978557071,0.9
5,2,57,3.923428528693115,3.836219900993696,0.9
6,2,58,3.5893487541207896,3.940749531729282,0.9
7,2,59,3.776393108664512,4.018410108274012,0.9
8,2,60,4.147861671408192,4.068080935787767,0.9
9,2,61,4.161878183724487,4.089840728405119,0.9
10,2,62,3.959807156892779,4.084920481552097,0.9
11,2,63,4.400105504817786,4.055596234610743,0.9
12,2,64,3.8891160031013325,4.005028476656648,0.9
13,2,65,3.6615721013431903,3.937057941330098,0.9
14,2,66,3.5567807209934976,3.8559699578101454,0.9
15,2,67,4.0477539750949205,3.7662412343049017,0.9
16,2,68,3.5476753486568904,3.6722838508240945,0.9
17,2,69,3.8215110422218195,3.5782012786949347,0.9
18,2,70,3.1248223056407562,3.4875704247261488,0.9
19,2,71,3.7372766785961105,3.403262067506026,0.9
20,2,72,3.553684016462105,3.3273097085126015,0.9
21,2,73,3.065701063271,3.260833939445931,0.9
22,2,74,3.153265827633253,3.2040261008058972,0.9
23,2,75,3.287727522624544,3.1561914700097153,0.9
24,2,76,3.0547115066546033,3.11584867713916,0.9
25,2,77,3.3121571259456912,3.0808787096470773,0.9
26,2,78,3.156816259068346,3.048713928962875,0.9
27,2,79,3.265649508371733,3.0165551535091226,0.9
28,2,80,2.9068038498696187,2.981603202448852,0.9
29,2,81,2.84208729895339,2.9412904394339154,0.9
30,2,82,2.6732357838091705,2.89349785562479,0.9
31,2,83,3.06977199166589,2.8367440863014175,0.9
32,2,84,2.8871983869296964,2.7703344155772425,0.9
33,2,85,2.732029633047621,2.6944601921561544,0.9
34,2,86,2.4183327623209565,2.6102420174619647,0.9
35,2,87,2.2017513394481414,2.519713404230467,0.9
36,2,88,2.599474397739901,2.4257451438583186,0.9
37,2,89,1.884790323997404,2.331914157532254,0.9
38,2,90,2.8111182957585577,2.2423239325486657,0.9
39,2,91,1.6783781767466257,2.16138656650176,0.9
40,2,92,2.0268861045872546,2.0935787868262583,0.9
41,2,93,1.8978610586841091,2.0431859435996014,0.9
42,2,94,2.2073566527910646,2.014048793064845,0.9
43,2,95,1.9505654383105444,2.009327848640445,0.9
44,2,96,2.2327159252422244,2.031299175830378,0.9
45,2,97,1.931478781237975,2.0811937980041146,0.9
46,2,98,2.3833169058799046,2.1590904591072717,0.9
